																									
																									
																									
																									
																									
			금지어 목록	게임에서 사용하면 안되는 나쁜말을 적어주세요																					
																									
																									
																									
				언어 상관 없이 나쁜말을 적어주세요																					
			index	wordFilter																					
			869	sexkitten																					
			870	sexslave																					
			871	sext																					
			872	sextape																					
			873	sexting																					
			874	sexwhore																					
			875	sh!t																					
			876	sh1thead																					
			877	sh1tting																					
			878	sharted																					
			879	shittyface																					
			880	skankbag																					
			881	skankwhore																					
			882	slobknob																					
			883	slutbag																					
			884	slutload																					
			885	smutt																					
			886	spunk																					
			887	stripclub																					
			888	strippergram																					
			889	suck1t																					
			890	suck4u																					
			891	suckass																					
			892	suckd1ck																					
			893	suckerz																					
			894	suckingdick																					
			895	test1cles																					
			896	titface																					
			897	titlover																					
			898	titpics																					
			899	tittyfuc																					
			900	tittyman																					
			901	tittysprinkle																					
			902	titslover																					
			903	tw4t																					
			904	twats																					
			905	upsk1rt																					
			906	vag1na																					
			907	vaginal																					
			908	w4nk																					
			909	wankerz																					
			910	wetdream																					
			911	wetpussy																					
			912	wh0re																					
			913	wh0res																					
			914	whorebag																					
			915	whorehouse																					
			916	wtfman																					
			917	xxxrated																					
			918	youfag																					
			919	youfuck																					
			920	youmotha																					
			921	youwhore																					
